Id,Date,Category,Title,Amount,Description
488,5/1/2026,food,Coffee,250,Coffee at Cafe Soma
489,5/2/2026,health,Checkup,900,General checkup
490,5/3/2026,education,Stationery,300,Notebooks and pens
491,5/4/2026,entertainment,Streaming,300,Netflix subscription
492,5/5/2026,lifestyle,Bag,900,Bought new backpack
493,5/6/2026,saving and investment,Savings,2000,Added to emergency fund
494,5/7/2026,housing,Cleaning Supplies,400,Household cleaning items
495,5/8/2026,transportation,Taxi,400,Taxi to airport
496,5/9/2026,others,Repair,600,Phone repair
497,5/10/2026,food,Groceries,1500,Weekly grocery shopping
498,5/11/2026,health,Medicines,600,Allergy medication
499,5/12/2026,education,Online Course,2500,Data science course
500,5/13/2026,entertainment,Concert,900,Local band concert
501,5/14/2026,lifestyle,Watch,1200,Bought smartwatch
502,5/15/2026,saving and investment,Fixed Deposit,4000,Deposited in savings
503,5/16/2026,housing,Rent,12000,Monthly apartment rent
504,5/17/2026,transportation,Bus Fare,200,Bus to Bhaktapur
505,5/18/2026,others,Gift,500,Gift for family
506,5/19/2026,food,Restaurant,800,Lunch at local cafe
507,5/20/2026,health,Yoga Classes,1000,Monthly yoga fee
508,5/21/2026,education,Books,1500,Academic books
509,5/22/2026,entertainment,Theater,600,Local play tickets
510,5/23/2026,lifestyle,Clothing,2000,Bought summer clothes
511,5/24/2026,saving and investment,Stocks,3000,Invested in bank stocks
512,5/25/2026,housing,Utilities,1200,Electricity and water bill
513,5/26/2026,transportation,Taxi,400,Taxi to meeting
514,5/27/2026,others,Repair,700,Laptop repair
515,5/28/2026,food,Groceries,1800,Monthly grocery shopping
516,5/29/2026,health,Checkup,900,General health checkup
517,5/30/2026,education,Stationery,300,Notebooks and pens
518,5/31/2026,entertainment,Streaming,300,Disney+ subscription
519,6/1/2026,lifestyle,Shoes,1500,Bought casual shoes
520,6/2/2026,saving and investment,Savings,2500,Added to emergency fund
521,6/3/2026,housing,Cleaning Supplies,400,Household cleaning items
522,6/4/2026,transportation,Bicycle,2000,New bicycle purchase
523,6/5/2026,others,Donation,600,Charity for school
524,6/6/2026,food,Dinner,1000,Dinner at restaurant
525,6/7/2026,health,Physiotherapy,1200,Session for knee pain
526,6/8/2026,education,Exam Fee,700,College exam fee
527,6/9/2026,entertainment,Festival,500,Local festival ticket
528,6/10/2026,lifestyle,Bag,900,Bought travel bag
529,6/11/2026,saving and investment,Mutual Fund,3000,Invested in mutual fund
530,6/12/2026,housing,Internet Bill,1200,Monthly internet subscription
531,6/13/2026,transportation,Fuel,1100,Fuel for motorbike
532,6/14/2026,others,Gift,400,Birthday gift
533,6/15/2026,food,Coffee,250,Coffee at local cafe
534,6/16/2026,health,Health Insurance,2000,Annual premium
535,6/17/2026,education,Tutoring,1000,Science tutoring
536,6/18/2026,entertainment,Game Night,500,Board game night
537,6/19/2026,lifestyle,Watch,1200,Bought new watch
538,6/20/2026,saving and investment,Bonds,3500,Government bonds
539,6/21/2026,housing,Furniture,2500,New sofa
540,6/22/2026,transportation,Car Maintenance,1800,Car servicing
541,6/23/2026,others,Pet Supplies,500,Pet food
542,6/24/2026,food,Lunch,600,Lunch at cafe
543,6/25/2026,health,Dental Checkup,800,Dental cleaning
544,6/26/2026,education,Books,1000,Reference books
545,6/27/2026,entertainment,Museum,400,Museum visit
546,6/28/2026,lifestyle,Clothing,1500,Bought new shirt
547,6/29/2026,saving and investment,Savings,2000,Added to savings
548,6/30/2026,housing,Repair,600,Fixed window
549,7/1/2026,transportation,Taxi,500,Taxi to station
550,7/2/2026,others,Stationery,200,Office supplies
551,7/3/2026,food,Groceries,1600,Weekly grocery shopping
552,7/4/2026,health,Medicines,700,Prescription medicine
553,7/5/2026,education,Online Course,2000,Enrolled in coding course
554,7/6/2026,entertainment,Concert,900,Live music event
555,7/7/2026,lifestyle,Shoes,1200,Bought sneakers
556,7/8/2026,saving and investment,Fixed Deposit,3000,Deposited in savings
557,7/9/2026,housing,Electricity Bill,1000,Monthly electricity bill
558,7/10/2026,transportation,Fuel,1100,Fuel for car
559,7/11/2026,others,Charity,600,Donation to NGO
560,7/12/2026,food,Restaurant,800,Dinner at local restaurant
561,7/13/2026,health,Yoga Classes,1000,Monthly yoga membership
562,7/14/2026,education,Books,1200,Academic books
563,7/15/2026,entertainment,Theater,700,Theater tickets
564,7/16/2026,lifestyle,Clothing,1800,Bought winter clothes
565,7/17/2026,saving and investment,Stocks,2500,Invested in stocks
566,7/18/2026,housing,Utilities,1200,Water and electricity bill
567,7/19/2026,transportation,Bus Fare,200,Bus to Kathmandu
568,7/20/2026,others,Gift,500,Gift for friend
569,7/21/2026,food,Coffee,250,Coffee at Cafe Soma
570,7/22/2026,health,Checkup,900,General checkup
571,7/23/2026,education,Stationery,300,Notebooks and pens
572,7/24/2026,entertainment,Streaming,300,Netflix subscription
573,7/25/2026,lifestyle,Bag,900,Bought new backpack
574,7/26/2026,saving and investment,Savings,2000,Added to emergency fund
575,7/27/2026,housing,Cleaning Supplies,400,Household cleaning items
576,7/28/2026,transportation,Taxi,400,Taxi to airport
577,7/29/2026,others,Repair,600,Phone repair
578,7/30/2026,food,Groceries,1500,Weekly grocery shopping
579,7/31/2026,health,Medicines,600,Allergy medication
580,8/1/2026,education,Online Course,2500,Data science course
581,8/2/2026,entertainment,Concert,900,Local band concert
582,8/3/2026,lifestyle,Watch,1200,Bought smartwatch
583,8/4/2026,saving and investment,Fixed Deposit,4000,Deposited in savings
584,8/5/2026,housing,Rent,12000,Monthly apartment rent
585,8/6/2026,transportation,Bus Fare,200,Bus to Bhaktapur
586,8/7/2026,others,Gift,500,Gift for family
587,8/8/2026,food,Restaurant,800,Lunch at local cafe
588,8/9/2026,health,Yoga Classes,1000,Monthly yoga fee
589,8/10/2026,education,Books,1500,Academic books
590,8/11/2026,entertainment,Theater,600,Local play tickets
591,8/12/2026,lifestyle,Clothing,2000,Bought summer clothes
592,8/13/2026,saving and investment,Stocks,3000,Invested in bank stocks
593,8/14/2026,housing,Utilities,1200,Electricity and water bill
594,8/15/2026,transportation,Taxi,400,Taxi to meeting
595,8/16/2026,others,Repair,700,Laptop repair
596,8/17/2026,food,Groceries,1800,Monthly grocery shopping
597,8/18/2026,health,Checkup,900,General health checkup
598,8/19/2026,education,Stationery,300,Notebooks and pens
599,8/20/2026,entertainment,Streaming,300,Disney+ subscription
600,8/21/2026,lifestyle,Shoes,1500,Bought casual shoes
601,8/22/2026,saving and investment,Savings,2500,Added to emergency fund
602,8/23/2026,housing,Cleaning Supplies,400,Household cleaning items
603,8/24/2026,transportation,Bicycle,2000,New bicycle purchase
604,8/25/2026,others,Donation,600,Charity for school
605,8/26/2026,food,Dinner,1000,Dinner at restaurant
606,8/27/2026,health,Physiotherapy,1200,Session for knee pain
607,8/28/2026,education,Exam Fee,700,College exam fee
608,8/29/2026,entertainment,Festival,500,Local festival ticket
609,8/30/2026,lifestyle,Bag,900,Bought travel bag
610,8/31/2026,saving and investment,Mutual Fund,3000,Invested in mutual fund
611,9/1/2026,housing,Internet Bill,1200,Monthly internet subscription
612,9/2/2026,transportation,Fuel,1100,Fuel for motorbike
613,9/3/2026,others,Gift,400,Birthday gift
614,9/4/2026,food,Coffee,250,Coffee at local cafe
615,9/5/2026,health,Health Insurance,2000,Annual premium
616,9/6/2026,education,Tutoring,1000,Science tutoring
617,9/7/2026,entertainment,Game Night,500,Board game night
618,9/8/2026,lifestyle,Watch,1200,Bought new watch
619,9/9/2026,saving and investment,Bonds,3500,Government bonds
620,9/10/2026,housing,Furniture,2500,New sofa
621,9/11/2026,transportation,Car Maintenance,1800,Car servicing
622,9/12/2026,others,Pet Supplies,500,Pet food
623,9/13/2026,food,Lunch,600,Lunch at cafe
624,9/14/2026,health,Dental Checkup,800,Dental cleaning
625,9/15/2026,education,Books,1000,Reference books
626,9/16/2026,entertainment,Museum,400,Museum visit
627,9/17/2026,lifestyle,Clothing,1500,Bought new shirt
628,9/18/2026,saving and investment,Savings,2000,Added to savings
629,9/19/2026,housing,Repair,600,Fixed window
630,9/20/2026,transportation,Taxi,500,Taxi to station
631,9/21/2026,others,Stationery,200,Office supplies
632,9/22/2026,food,Groceries,1600,Weekly grocery shopping
633,9/23/2026,health,Medicines,700,Prescription medicine
634,9/24/2026,education,Online Course,2000,Enrolled in coding course
635,9/25/2026,entertainment,Concert,900,Live music event
636,9/26/2026,lifestyle,Shoes,1200,Bought sneakers
637,9/27/2026,saving and investment,Fixed Deposit,3000,Deposited in savings
638,9/28/2026,housing,Electricity Bill,1000,Monthly electricity bill
639,9/29/2026,transportation,Fuel,1100,Fuel for car
640,9/30/2026,others,Charity,600,Donation to NGO
641,10/1/2026,food,Restaurant,800,Dinner at local restaurant
642,10/2/2026,health,Yoga Classes,1000,Monthly yoga membership
643,10/3/2026,education,Books,1200,Academic books
644,10/4/2026,entertainment,Theater,700,Theater tickets
645,10/5/2026,lifestyle,Clothing,1800,Bought winter clothes
646,10/6/2026,saving and investment,Stocks,2500,Invested in stocks
647,10/7/2026,housing,Utilities,1200,Water and electricity bill
648,10/8/2026,transportation,Bus Fare,200,Bus to Kathmandu
649,10/9/2026,others,Gift,500,Gift for friend
650,10/10/2026,food,Coffee,250,Coffee at Cafe Soma
651,10/11/2026,health,Checkup,900,General checkup
652,10/12/2026,education,Stationery,300,Notebooks and pens
653,10/13/2026,entertainment,Streaming,300,Netflix subscription
654,10/14/2026,lifestyle,Bag,900,Bought new backpack
655,10/15/2026,saving and investment,Savings,2000,Added to emergency fund
656,10/16/2026,housing,Cleaning Supplies,400,Household cleaning items
657,10/17/2026,transportation,Taxi,400,Taxi to airport
658,10/18/2026,others,Repair,600,Phone repair
659,10/19/2026,food,Groceries,1500,Weekly grocery shopping
660,10/20/2026,health,Medicines,600,Allergy medication
661,10/21/2026,education,Online Course,2500,Data science course
662,10/22/2026,entertainment,Concert,900,Local band concert
663,10/23/2026,lifestyle,Watch,1200,Bought smartwatch
664,10/24/2026,saving and investment,Fixed Deposit,4000,Deposited in savings
665,10/25/2026,housing,Rent,12000,Monthly apartment rent
666,10/26/2026,transportation,Bus Fare,200,Bus to Bhaktapur
667,10/27/2026,others,Gift,500,Gift for family
668,10/28/2026,food,Restaurant,800,Lunch at local cafe
669,10/29/2026,health,Yoga Classes,1000,Monthly yoga fee
670,10/30/2026,education,Books,1500,Academic books
671,10/31/2026,entertainment,Theater,600,Local play tickets
672,11/1/2026,lifestyle,Clothing,2000,Bought summer clothes
673,11/2/2026,saving and investment,Stocks,3000,Invested in bank stocks
674,11/3/2026,housing,Utilities,1200,Electricity and water bill
675,11/4/2026,transportation,Taxi,400,Taxi to meeting
676,11/5/2026,others,Repair,700,Laptop repair
677,11/6/2026,food,Groceries,1800,Monthly grocery shopping
678,11/7/2026,health,Checkup,900,General health checkup
679,11/8/2026,education,Stationery,300,Notebooks and pens
680,11/9/2026,entertainment,Streaming,300,Disney+ subscription
681,11/10/2026,lifestyle,Shoes,1500,Bought casual shoes
682,11/11/2026,saving and investment,Savings,2500,Added to emergency fund
683,11/12/2026,housing,Cleaning Supplies,400,Household cleaning items
684,11/13/2026,transportation,Bicycle,2000,New bicycle purchase
685,11/14/2026,others,Donation,600,Charity for school
686,11/15/2026,food,Dinner,1000,Dinner at restaurant
687,11/16/2026,health,Physiotherapy,1200,Session for knee pain
688,11/17/2026,education,Exam Fee,700,College exam fee
689,11/18/2026,entertainment,Festival,500,Local festival ticket
690,11/19/2026,lifestyle,Bag,900,Bought travel bag
691,11/20/2026,saving and investment,Mutual Fund,3000,Invested in mutual fund
692,11/21/2026,housing,Internet Bill,1200,Monthly internet subscription
693,11/22/2026,transportation,Fuel,1100,Fuel for motorbike
694,11/23/2026,others,Gift,400,Birthday gift
695,11/24/2026,food,Coffee,250,Coffee at local cafe
696,11/25/2026,health,Health Insurance,2000,Annual premium
697,11/26/2026,education,Tutoring,1000,Science tutoring
698,11/27/2026,entertainment,Game Night,500,Board game night
699,11/28/2026,lifestyle,Watch,1200,Bought new watch
700,11/29/2026,saving and investment,Bonds,3500,Government bonds
701,11/30/2026,housing,Furniture,2500,New sofa
702,12/1/2026,transportation,Car Maintenance,1800,Car servicing
703,12/2/2026,others,Pet Supplies,500,Pet food
704,12/3/2026,food,Lunch,600,Lunch at cafe
705,12/4/2026,health,Dental Checkup,800,Dental cleaning
706,12/5/2026,education,Books,1000,Reference books
707,12/6/2026,entertainment,Museum,400,Museum visit
708,12/7/2026,lifestyle,Clothing,1500,Bought new shirt
709,12/8/2026,saving and investment,Savings,2000,Added to savings
710,12/9/2026,housing,Repair,600,Fixed window
711,12/10/2026,transportation,Taxi,500,Taxi to station
712,12/11/2026,others,Stationery,200,Office supplies
713,12/12/2026,food,Groceries,1600,Weekly grocery shopping
714,12/13/2026,health,Medicines,700,Prescription medicine
715,12/14/2026,education,Online Course,2000,Enrolled in coding course
716,12/15/2026,entertainment,Concert,900,Live music event
717,12/16/2026,lifestyle,Shoes,1200,Bought sneakers
718,12/17/2026,saving and investment,Fixed Deposit,3000,Deposited in savings
